 written on 25Nov2024 at 13:34:33 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    5    1    0.88188309E-04 -0.69580282E-04
    6    1   -0.15133961E-03 -0.46598263E-04
    1    2   -0.14998120E-03  0.29090422E-03
    2    2   -0.43936650E-02 -0.13044048E-03
    3    2    0.39919024E-02  0.17909310E-01
    4    2    0.93021562E-04 -0.26169026E-04
    5    2    0.26616927E-03 -0.15207919E-02
    6    2    0.37513816E-02 -0.25554183E-03
    1    3    0.85343912E-04  0.26104032E-04
    2    3   -0.94126782E-02 -0.52347858E-02
    3    3    0.14291198E-01  0.51747963E-04
    4    3    0.44618731E-03 -0.46474665E-03
    5    3    0.37429601E-01 -0.39582647E-02
    6    3    0.25203010E-01  0.19584064E-02
    1    4   -0.22989950E-01  0.10403501E-01
    2    4   -0.88223269E-04 -0.11998748E-03
    3    4   -0.70738497E-03  0.69877941E-03
    4    4    0.18476191E-01  0.45693323E-05
    5    4   -0.10768380E-03 -0.68306653E-04
    6    4   -0.99307014E-04 -0.82811541E-04
    1    5    0.14352667E-03 -0.19319017E-03
    2    5   -0.32545013E-02  0.59996009E-03
    3    5    0.81684388E-01  0.17147543E-01
    4    5    0.12113772E-04 -0.40269520E-04
    5    5   -0.28286618E-03 -0.99307520E-03
    6    5    0.36515973E-02 -0.60904674E-03
    1    6    0.18097549E-04 -0.74003560E-04
    2    6   -0.38581245E-03 -0.15314192E-02
    3    6    0.76332919E-01  0.57514815E-02
    4    6    0.85552002E-04  0.50324665E-04
    5    6   -0.85099729E-03 -0.16807056E-03
    6    6   -0.27964769E-03  0.10686277E-02

   -3   -2    0
